open,high,low,close
310.3,310.6,310.3,310.6
310.5,311.0,310.5,311.0
311.2,311.45,311.0,311.25
311.3,311.5,311.1,311.45
311.4,311.45,310.9,311.15
311.15,311.5,311.0,311.3
311.3,311.5,311.25,311.5
311.5,311.5,311.2,311.35
311.3,311.45,311.3,311.4
311.35,311.55,311.35,311.55
311.6,311.8,311.5,311.7
311.7,311.75,310.9,310.9
310.9,311.15,310.9,311.15
311.15,311.5,311.1,311.4
311.45,311.7,311.3,311.55
311.55,311.8,311.55,311.8
311.6,312.2,311.6,312.0
311.95,312.15,311.95,312.05
312.0,312.1,311.9,312.0
312.0,312.05,311.9,312.0
312.0,312.35,311.95,312.35
312.3,312.35,311.8,312.2
312.2,312.55,312.15,312.3
312.3,312.5,312.2,312.5
312.5,312.5,312.25,312.45
312.5,313.0,312.35,312.95
312.9,313.6,312.9,313.5
313.55,313.55,313.2,313.4
313.3,313.4,313.05,313.05
313.15,313.15,312.5,312.5
312.3,312.45,311.75,311.85
311.9,312.0,311.6,311.8
311.9,312.0,311.8,311.95
311.85,312.0,311.8,311.9
311.9,312.0,311.7,311.95
311.95,312.05,311.6,311.75
311.75,311.9,311.6,311.8
311.8,311.9,311.5,311.5
311.6,311.75,311.5,311.7
311.65,312.2,311.65,312.2
312.5,312.8,312.3,312.65
312.8,313.25,312.8,313.0
313.2,313.3,312.85,312.85
313.0,313.0,312.75,312.95
313.0,313.4,313.0,313.2
313.05,313.2,312.95,312.95
313.0,313.05,312.65,312.75
312.8,312.85,312.35,312.4
312.4,312.5,312.3,312.4
312.4,312.6,312.35,312.5
312.4,312.95,312.4,312.85
312.95,313.0,312.75,312.9
312.9,313.0,312.75,312.85
312.75,312.9,312.65,312.65
312.6,312.85,312.6,312.7
312.65,312.75,312.55,312.55
312.55,312.9,312.55,312.8
312.7,313.45,312.7,313.35
313.45,313.55,313.25,313.5
313.4,313.85,313.4,313.6
313.75,313.75,313.6,313.65
313.6,313.75,313.55,313.7
313.7,313.75,313.55,313.6
313.6,313.7,313.5,313.65
313.6,313.8,313.55,313.75
313.8,313.95,313.7,313.75
313.75,313.85,313.65,313.65
313.75,313.8,313.25,313.25
313.25,313.4,313.15,313.2
313.2,313.35,312.35,312.45
312.4,313.0,312.4,312.7
312.6,312.65,312.4,312.5
312.55,312.65,312.4,312.6
312.5,312.55,312.1,312.15
312.25,312.45,312.15,312.2
312.3,312.4,312.2,312.35
312.3,312.4,312.2,312.35
312.4,312.4,312.25,312.3
312.35,312.4,312.25,312.4
312.4,312.5,312.2,312.25
312.25,312.3,311.9,311.9
312.0,312.0,311.9,312.0
311.95,312.0,311.9,312.0
312.0,312.05,311.95,312.05
312.05,312.2,312.0,312.15
312.0,312.2,312.0,312.2
312.15,312.25,311.85,311.85
311.9,311.9,311.55,311.65
311.75,311.8,311.65,311.8
311.75,312.0,311.75,311.9
311.9,311.95,311.85,311.95
311.95,312.0,311.9,312.0
311.95,312.0,311.8,311.85
311.85,311.9,311.8,311.8
311.8,312.0,311.8,311.9
311.85,311.95,311.8,311.9
311.8,312.0,311.8,311.95
311.95,311.95,311.85,311.95
311.95,312.0,311.9,311.9
311.9,312.0,311.85,311.9
311.9,312.0,311.9,312.0
311.9,312.0,311.9,312.0
312.0,312.4,311.9,312.4
312.4,312.4,312.2,312.35
312.4,312.55,312.2,312.2
312.25,312.6,312.2,312.55
